sentence
Everyone has always thought that John is an extremely
When they describe him, his colleagues say that Mr. Smith is especially
At work and with friends, her brother comes across as someone very
At first glance, that man seems to be someone incredibly
In difficult situations, everyone agrees that my father appears to be surprisingly
From the first impression, the new guy gives the impression of being quite
In his group of friends, Paul always stands out as the most
Of all the men I know, David is undoubtedly the most
Among his peers, Sir Michael is famous for being the most
When he talks about himself, that boy considers himself very
In his circle, it's known that the chairman considers himself to be rather
Her husband often describes himself as someone genuinely
The reason the client hired him is that Mr. Evans is a very
For this job, the board highlighted my son's qualities for being extremely
In the interview, the male candidate emphasized that he is incredibly
He is a man who has always proven to be remarkably
Over the years, her uncle has been a consistently
That gentleman's personality has always been characteristically
In general, King Arthur is described as being very
Others always think of her son, Peter, as being rather
With his character and demeanor, the groom is definitely
